Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc
1,1.9861,92.81,1.5954,91.42
2,1.6348,95.31,1.5442,92.61
3,1.5856,95.86,1.4837,94.77
4,1.5450,95.25,1.5638,92.52
5,1.5054,96.55,1.4371,96.44
6,1.4556,96.77,1.5055,94.81
7,1.4697,97.65,1.4427,96.04
8,1.4423,97.80,1.5222,95.73
9,1.4209,98.20,1.4316,96.53
10,1.4198,98.10,1.4351,96.39
11,1.5217,96.27,1.5731,92.88
12,1.5221,95.61,1.5124,93.54
13,1.4941,96.09,1.4932,94.90
14,1.4849,96.84,1.4811,94.85
15,1.4863,95.70,1.5333,93.84
16,1.4758,97.23,1.5832,92.96
17,1.4686,97.16,1.5437,92.57
18,1.4495,97.61,1.5109,94.99
19,1.4511,97.45,1.5697,92.22
20,1.4201,97.77,1.5653,93.71
21,1.4259,98.07,1.5552,93.32
